mismatch_type,file_path,health_score,rule_label,pred_label,pred_conf,prob_normal,prob_abnormal,prob_fault,top_time_idx,top_time_score,time_score_sum,seq_len,xai_png
Fault->Abnormal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1602N/故障/P1602N_20230409050731_2.csv,59.34478893263342,2,1,0.9818395376205444,0.006124741863459349,0.9818395376205444,0.012035784311592579,"[4, 3, 2, 5, 232, 149, 287, 285, 284, 118]","[0.00046265916898846626, 0.00045206956565380096, 0.00039613593253307045, 0.0003463478642515838, 0.00020764421788044274, 0.00020047693396918476, 0.00019716571841854602, 0.0001892886939458549, 0.0001843424397520721, 0.0001797350705601275]",0.02126987650990486,295,./xai_ig_figs1/IG_FaulttoAbnormal_conf0.982_score59.34.png
Abnormal->Normal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1602N/異常/P1602N_20230514033946_1.csv,78.9841966324201,1,0,0.9711065888404846,0.9711065888404846,0.024102384224534035,0.004791009705513716,"[4, 3, 2, 283, 5, 282, 285, 1, 160, 138]","[0.0003114096471108496, 0.0002926386659964919, 0.00026004359824582934, 0.00015837492537684739, 0.00015662814257666469, 0.0001379279128741473, 0.0001318870927207172, 0.0001276504626730457, 0.00012156563752796501, 0.00011230394011363387]",0.013074308633804321,295,./xai_ig_figs1/IG_AbnormaltoNormal_conf0.971_score78.98.png
Abnormal->Normal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1603N/異常/P1603N_20230320033750_1.csv,77.67340923772609,1,0,0.9526025056838989,0.9526025056838989,0.04274098575115204,0.0046565234661102295,"[263, 261, 264, 262, 259, 260, 265, 271, 258, 269]","[9.939468145603314e-05, 9.459405555389822e-05, 9.381640120409429e-05, 8.49874850246124e-05, 8.280829933937639e-05, 8.183158934116364e-05, 7.941429066704586e-05, 7.618559175170958e-05, 7.391413964796811e-05, 7.156957872211933e-05]",0.001951834768988192,274,./xai_ig_figs1/IG_AbnormaltoNormal_conf0.953_score77.67.png
Abnormal->Normal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1603R/異常/P1603R_20230515215434_1.csv,78.81108539094649,1,0,0.9444215297698975,0.9444215297698975,0.0481775738298893,0.007400964852422476,"[3, 2, 4, 6, 5, 150, 201, 78, 79, 171]","[0.0015025686006993055, 0.0013099011266604066, 0.0013038917677477002, 0.0009461463196203113, 0.0008816247573122382, 0.000686155166476965, 0.0006519880262203515, 0.000608717673458159, 0.0006006862386129797, 0.0005709292599931359]",0.07169067859649658,298,./xai_ig_figs1/IG_AbnormaltoNormal_conf0.944_score78.81.png
Normal->Abnormal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1602R/正常/P1602R_20230701044905_0.csv,80.08407538082436,0,1,0.8111819624900818,0.18777790665626526,0.8111819624900818,0.0010401090839877725,"[3, 5, 4, 2, 272, 273, 232, 201, 108, 150]","[0.0006443028105422854, 0.0005888791638426483, 0.0005877228104509413, 0.0005820891237817705, 0.0003891505184583366, 0.00037054752465337515, 0.0003347315650898963, 0.00032348468084819615, 0.00030656118178740144, 0.0002952659269794822]",0.031412046402692795,278,./xai_ig_figs1/IG_NormaltoAbnormal_conf0.811_score80.08.png
Normal->Abnormal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1603N/正常/P1603N_20230720040508_0.csv,82.90555986887509,0,1,0.7942253947257996,0.20385518670082092,0.7942253947257996,0.0019193950574845076,"[286, 285, 289, 284, 288, 3, 294, 292, 287, 283]","[0.00016387098003178835, 0.00015673549205530435, 0.00015113686094991863, 0.00014684812049381435, 0.00013293404481373727, 0.00011563154112081975, 0.0001151973701780662, 0.00011335484305163845, 0.00011207493662368506, 0.00010429749090690166]",0.006362576968967915,296,./xai_ig_figs1/IG_NormaltoAbnormal_conf0.794_score82.91.png
Normal->Abnormal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1602R/正常/P1602R_20230625050402_0.csv,81.06311765491452,0,1,0.7307897806167603,0.2681041657924652,0.7307897806167603,0.0011060344986617565,"[3, 2, 4, 5, 7, 6, 140, 190, 108, 159]","[0.0007880101911723614, 0.0006247041746973991, 0.0005376748158596456, 0.00035233760718256235, 0.0003178840852342546, 0.0003130523837171495, 0.00030567377689294517, 0.00028569495771080256, 0.00028063543140888214, 0.0002782480441965163]",0.030521826818585396,290,./xai_ig_figs1/IG_NormaltoAbnormal_conf0.731_score81.06.png
Abnormal->Fault,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1602R/異常/P1602R_20230302045422_1.csv,60.716248359580064,1,2,0.7208802700042725,0.0019172654720023274,0.2772025763988495,0.7208802700042725,"[4, 3, 2, 5, 211, 243, 16, 283, 171, 222]","[0.0016256730305030942, 0.0015335642965510488, 0.0009590554400347173, 0.000773940235376358, 0.0006907520582899451, 0.0006645288085564971, 0.0006623966619372368, 0.0006466950289905071, 0.0006109278183430433, 0.000596197322010994]",0.07056774199008942,306,./xai_ig_figs1/IG_AbnormaltoFault_conf0.721_score60.72.png
